galaxy,obsnum,date-obs,Tsys(*),Integration Time,Predicted Noise,Measured Noise,k1 ,Signal,S/N ,sK/K ,Comments
,skynet,,K,sec,K,K,-,K,-,-,
,,,,,,,,,,,
M31-XX,62068,2021-09-14 2:44:53,142,200,.082,.104,1.27,8,80,3.2,xx
M31-YY,62068,,31997,200,18.473,16.000,0.87,1230,80,~500,YY is scaled very different
N628-XX,62098,2021-09-15 4:30:58,140,200,.081,.101,1.25,2.2,20,~0.8,
N628-YY,62098,,157,200,.091,.120,1.32,2.6,20,,
,,,,,,.079,,2.4,30,,<xx+yy>
N1530,62102,2021-09-15 2:50:54,106,200,.061,.076,1.24,0.18,2.5,,
N3976,62119,2021-09-15 20:02:59,68,300,.032,.047,1.47,,0,,
N4565,62118,2021-09-15 19:55:05,111,200,.064,.093,1.44,,0,,
N4559-XX,62147,2021-09-15 19:55:05,93,300,.044,.059,1.35,0.25,4,,
N4559-YY,62147,,130,300,.061,.073,1.19,0.5,7,~1,YY had better S/N than XX
,,,,,,.046,,0.4,9,,<xx+yy>
M31 (2nd),62130,2021-09-16 0:11:22,288,50,.333,.412,1.24,16,40,6.4,xx
,,,320,50,.370,.470,1.27,20,45,7.2,yy
N1530 (2nd),62134,2021-09-16 2:14:49,430,200,.248,.317,1.28,,0,,
,,,,,,,,,,,
M31-archive_1,44909,2020-04-06 10:37:35,39,65,.039,.057,1.44,2.5,40,,xx
,,,40,65,.041,.052,1.28,2.6,50,,yy
M31-archive_2,51605,2020-12-19 20:02:19,42,200,.024,.034,1.40,0,0,,
,,,38,200,.022,.030,1.37,2.1,70,,xx
,,,50,200,.029,.037,1.28,2.7,73,,yy and stronger than xx
M31,51656,,,,,,,,,,
M31,59470,,,,,,,,,,
M31,59749,2021-05-06 16:17:49,37,200,.021,.028,1.31,0,0,,
,,,34,200,.020,.025,1.27,2.4,100,,xx
,,,43,200,.025,.034,1.37,3,90,,YY stronger than XX
M31,59818,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,1.27,,,,
,,,,,,,0.15,,,,